accuracy,val_accuracy,loss,val_loss
0.6415625214576721,0.6512500047683716,0.6619496941566467,0.6269019842147827
0.6876562237739563,0.6549999713897705,0.5901895761489868,0.5720968842506409
0.6870312690734863,0.6725000143051147,0.5391113758087158,0.5232272148132324
0.6995312571525574,0.6924999952316284,0.49334144592285156,0.4847506582736969
0.7185937762260437,0.6962500214576721,0.4567273259162903,0.4415268301963806
0.7562500238418579,0.8112499713897705,0.42566418647766113,0.39994630217552185
0.7870312333106995,0.8462499976158142,0.3923928141593933,0.3635254204273224
0.8173437714576721,0.8575000166893005,0.3657078146934509,0.3354949653148651
0.8349999785423279,0.8587499856948853,0.34546172618865967,0.3207515478134155
0.8368750214576721,0.875,0.3320867121219635,0.3019518554210663
0.8492187261581421,0.8837500214576721,0.3200313448905945,0.2899371087551117
0.8504687547683716,0.8862500190734863,0.3160790205001831,0.27974337339401245
0.8559374809265137,0.8824999928474426,0.3099047541618347,0.2819763720035553
0.8539062738418579,0.8899999856948853,0.3104805648326874,0.2676231265068054
0.8587499856948853,0.8924999833106995,0.30534207820892334,0.26568329334259033
0.8612499833106995,0.8899999856948853,0.30186471343040466,0.26260244846343994
0.8614062666893005,0.8924999833106995,0.2992689311504364,0.25573986768722534
0.8637499809265137,0.8899999856948853,0.29477083683013916,0.25547677278518677
0.8653125166893005,0.8912500143051147,0.2944813668727875,0.2528766691684723
0.8662499785423279,0.887499988079071,0.2913540005683899,0.25039321184158325
0.8690624833106995,0.8849999904632568,0.28619158267974854,0.24931040406227112
0.8667187690734863,0.8862500190734863,0.28499260544776917,0.24605228006839752
0.8695312738418579,0.8887500166893005,0.27997469902038574,0.24288247525691986
0.8734375238418579,0.8824999928474426,0.2762216031551361,0.2390555590391159
0.8715624809265137,0.8862500190734863,0.2769101858139038,0.23682637512683868
0.8762500286102295,0.887499988079071,0.27069830894470215,0.23648132383823395
0.8751562237739563,0.8862500190734863,0.27130505442619324,0.23046836256980896
0.8764062523841858,0.893750011920929,0.2672606408596039,0.22571705281734467
0.87890625,0.8924999833106995,0.2644633948802948,0.22448062896728516
0.883593738079071,0.8899999856948853,0.25874578952789307,0.2290942221879959
0.8853124976158142,0.8962500095367432,0.2534855306148529,0.2137395143508911
0.8893749713897705,0.8962500095367432,0.24837519228458405,0.2132411152124405
0.8929687738418579,0.9037500023841858,0.24432896077632904,0.2064523547887802
0.8935937285423279,0.9125000238418579,0.24008585512638092,0.2000105082988739
0.8932812213897705,0.9212499856948853,0.23726186156272888,0.1994321495294571
0.8971874713897705,0.9112499952316284,0.2367815524339676,0.19326190650463104
0.9001562595367432,0.9225000143051147,0.23129461705684662,0.18888893723487854
0.9012500047683716,0.9237499833106995,0.22864064574241638,0.1962628811597824
0.8995312452316284,0.9262499809265137,0.2293388545513153,0.18634873628616333
0.901562511920929,0.9312499761581421,0.2271447777748108,0.18130594491958618
0.8989062309265137,0.9337499737739563,0.22723233699798584,0.18247514963150024
0.9018750190734863,0.9287499785423279,0.22589252889156342,0.18273311853408813
